y-m-d_hr:mn:sc,moisture level (50-100mm),temperature 1,light level 1,waterIsOn,moisture level (Vegetronix @ 50mm)
2010-8-19_20:9,157,45,70,0,353
2010-8-19_20:24,157,45,52,0,351
2010-8-19_20:39,157,45,51,0,353
2010-8-19_20:54,155,45,51,0,352
2010-8-19_21:9,153,45,51,0,348
2010-8-19_21:24,162,44,52,0,348
2010-8-19_21:39,153,44,52,0,349
2010-8-19_21:54,154,44,52,0,349
2010-8-19_22:9,151,44,53,0,348
2010-8-19_22:24,152,44,53,0,349
2010-8-19_22:39,150,44,56,1,358
2010-8-19_22:54,147,43,57,1,482
2010-8-19_23:9,138,44,58,1,537
2010-8-19_23:24,137,43,58,1,551
2010-8-19_23:39,133,43,57,1,590
2010-8-19_23:54,142,43,54,0,587
2010-8-20_0:9,138,43,54,0,569
2010-8-20_0:24,146,43,55,0,563
2010-8-20_0:39,154,43,54,0,553
2010-8-20_0:54,156,43,54,0,554
2010-8-20_1:9,165,43,54,0,558
2010-8-20_1:24,171,43,54,0,554
2010-8-20_1:39,178,43,54,0,555
2010-8-20_1:54,184,43,54,0,544
2010-8-20_2:9,196,43,54,0,552
2010-8-20_2:24,203,42,54,0,549
2010-8-20_2:39,212,42,54,0,543
2010-8-20_2:54,217,42,54,0,553
2010-8-20_3:9,230,42,54,0,539
2010-8-20_3:24,228,42,54,0,533
2010-8-20_3:39,236,42,54,0,542
2010-8-20_3:54,239,42,54,0,535
2010-8-20_4:9,247,42,54,0,540
2010-8-20_4:24,248,42,54,0,532
2010-8-20_4:39,256,42,54,0,533
2010-8-20_4:54,256,42,53,0,534
2010-8-20_5:9,263,41,53,0,534
2010-8-20_5:24,266,41,53,0,537
2010-8-20_5:39,269,41,54,0,533
2010-8-20_5:54,269,41,61,0,532
2010-8-20_6:9,271,41,112,0,531
2010-8-20_6:24,273,41,219,0,472
2010-8-20_6:39,275,41,332,0,489
2010-8-20_6:54,283,41,412,0,473
2010-8-20_7:9,282,41,476,0,475
2010-8-20_7:24,288,41,527,0,474
2010-8-20_7:39,287,40,559,0,480
2010-8-20_7:54,291,41,594,0,487
2010-8-20_8:9,287,41,620,0,484
2010-8-20_8:24,289,41,649,0,493
2010-8-20_8:39,291,41,691,0,472
2010-8-20_8:54,294,42,799,0,487
2010-8-20_9:9,292,43,858,0,473
2010-8-20_9:24,279,45,888,0,477
2010-8-20_9:39,275,46,902,0,486
2010-8-20_9:54,276,47,911,1,488
2010-8-20_10:9,273,48,906,0,523
2010-8-20_10:24,286,48,897,0,543
2010-8-20_10:39,297,48,894,0,526
2010-8-20_10:54,317,48,892,0,531
2010-8-20_11:9,321,49,916,0,529
2010-8-20_11:24,326,51,921,0,533
2010-8-20_11:39,333,52,928,0,543
2010-8-20_11:54,338,53,925,0,540
2010-8-20_12:9,340,54,931,0,534
2010-8-20_12:24,349,54,920,0,535
2010-8-20_12:39,355,55,919,0,520
2010-8-20_12:54,361,55,918,0,520
2010-8-20_13:9,367,54,921,0,511
2010-8-20_13:24,382,53,925,0,501
2010-8-20_13:39,387,52,918,0,505
2010-8-20_13:54,392,51,903,0,505
2010-8-20_14:9,391,51,862,0,502
2010-8-20_14:24,388,50,793,0,496
2010-8-20_14:39,387,50,854,0,494
2010-8-20_14:54,390,50,817,0,489
2010-8-20_15:9,388,50,780,0,507
2010-8-20_15:24,392,50,825,0,489
2010-8-20_15:39,388,49,736,0,501
2010-8-20_15:54,390,49,735,0,473
2010-8-20_16:9,391,49,787,0,478
2010-8-20_16:24,387,48,730,0,485
2010-8-20_16:39,385,48,702,0,478
2010-8-20_16:54,388,48,738,0,474
2010-8-20_17:9,387,48,732,0,482
2010-8-20_17:24,384,47,729,0,477
2010-8-20_17:39,382,48,718,0,483
2010-8-20_17:54,380,47,672,0,474
2010-8-20_18:9,379,47,462,0,475
2010-8-20_18:24,378,47,623,0,477
2010-8-20_18:39,376,47,584,0,476
2010-8-20_18:54,378,46,508,0,478
2010-8-20_19:9,376,46,433,0,471
2010-8-20_19:24,376,45,364,1,526
2010-8-20_19:39,385,45,263,1,558
2010-8-20_19:54,514,45,143,1,599
2010-8-20_20:9,573,44,70,1,600
2010-8-20_20:24,605,43,54,1,600
2010-8-20_20:39,615,43,52,1,600
2010-8-20_20:54,629,42,51,0,600
2010-8-20_21:9,615,43,50,0,598
2010-8-20_21:24,607,43,50,0,596
2010-8-20_21:39,605,43,50,0,590
2010-8-20_21:54,601,43,51,0,584
2010-8-20_22:9,596,43,51,0,584
2010-8-20_22:24,593,43,51,0,579
2010-8-20_22:39,593,42,51,0,579
2010-8-20_22:54,589,43,51,0,580
2010-8-20_23:9,591,42,51,0,575
2010-8-20_23:24,588,42,51,0,575
2010-8-20_23:39,583,42,51,0,578
2010-8-20_23:54,584,42,51,0,572
2010-8-21_0:9,578,42,51,0,580
2010-8-21_0:24,579,42,51,0,580
2010-8-21_0:39,579,42,51,0,574
2010-8-21_0:54,578,42,51,0,574
2010-8-21_1:9,574,42,51,0,574
2010-8-21_1:24,578,41,51,0,581
2010-8-21_1:39,575,41,52,0,575
2010-8-21_1:54,573,41,50,0,573
2010-8-21_2:9,569,41,50,0,570
2010-8-21_2:24,571,41,50,0,569
2010-8-21_2:39,566,41,50,0,568
2010-8-21_2:54,568,41,51,0,569
2010-8-21_3:9,565,41,51,0,565
2010-8-21_3:24,564,41,50,0,569
2010-8-21_3:39,562,41,51,0,566
2010-8-21_3:54,560,41,51,0,568
2010-8-21_4:9,557,40,51,0,565
2010-8-21_4:24,558,40,51,0,569
2010-8-21_4:39,556,40,51,0,564
2010-8-21_4:54,558,40,51,0,563
2010-8-21_5:9,553,40,51,0,559
2010-8-21_5:24,552,40,51,0,559
2010-8-21_5:39,556,40,52,0,559
2010-8-21_5:54,551,40,58,0,554
2010-8-21_6:9,552,40,103,0,554
2010-8-21_6:24,550,40,190,0,520
2010-8-21_6:39,552,40,316,0,515
2010-8-21_6:54,547,39,444,0,514
2010-8-21_7:9,547,40,538,0,514
2010-8-21_7:24,552,40,538,0,513
2010-8-21_7:39,546,40,523,0,514
2010-8-21_7:54,549,39,614,0,512
2010-8-21_8:9,545,40,633,0,519
2010-8-21_8:24,546,40,669,0,513
2010-8-21_8:39,545,40,721,0,514
2010-8-21_8:54,547,40,796,0,511
2010-8-21_9:9,548,41,854,0,508
2010-8-21_9:24,549,42,872,0,503
2010-8-21_9:39,550,43,867,0,510
2010-8-21_9:54,550,43,796,0,504
2010-8-21_10:9,552,44,893,0,509
2010-8-21_10:24,551,44,873,0,505
2010-8-21_10:39,555,44,874,0,507
2010-8-21_10:54,558,44,867,0,513
2010-8-21_11:9,556,46,905,0,516
2010-8-21_11:24,553,46,856,0,512
2010-8-21_11:39,559,46,778,0,508
2010-8-21_11:54,559,45,820,0,507
2010-8-21_12:9,559,46,897,0,505
2010-8-21_12:24,554,47,897,0,502
2010-8-21_12:39,554,47,814,0,502
2010-8-21_12:54,553,47,865,0,508
2010-8-21_13:9,553,47,818,0,498
2010-8-21_13:24,555,46,807,0,500
2010-8-21_13:39,557,46,732,0,497
2010-8-21_13:54,556,46,734,0,498
2010-8-21_14:9,553,46,785,0,490
2010-8-21_14:24,553,46,825,0,493
2010-8-21_14:39,547,46,824,0,484
2010-8-21_14:54,544,46,853,0,485
2010-8-21_15:9,543,46,830,0,487
2010-8-21_15:24,540,46,792,0,480
2010-8-21_15:39,539,46,770,0,485
2010-8-21_15:54,538,46,796,0,483
2010-8-21_16:9,535,45,745,0,485
2010-8-21_16:24,534,45,738,0,481
2010-8-21_16:39,532,45,733,0,473
2010-8-21_16:54,531,46,713,0,474
2010-8-21_17:9,529,45,711,0,477
2010-8-21_17:24,528,45,686,0,475
2010-8-21_17:39,525,45,657,0,473
2010-8-21_17:54,522,47,599,0,479
2010-8-21_18:9,520,47,551,0,480
2010-8-21_18:24,521,51,545,0,483
2010-8-21_18:39,520,51,434,0,484
